"","HHID","hhsize","hhsize_ae","dep_ratio","hh_head_age","hh_head_sex","hh_head_sch","hh_head_read","comm","stratum","urban","int_month","int_year","sh_tof_w_b","sh_tof_wo_b","sh_fruit_w_b","sh_fruit_wo_b","sh_cash","land_size","exp_food","exp_food_pur","exp_food_away","exp_food_own","exp_food_free","exp_nodurable","exp_durable","tot_exp","self_con_fruit","self_con_cash","self_con_other","harv_q_fruit","harv_q_cash","harv_q_other","inc_fruit","inc_cash","inc_other","inc_ag_total","share_fruit","share_treesonfarm","lvst_large","lvst_small","lvst_poul","wave"
"1","1013000201",1,1,0,38,1,NA,1,"10130002","Central rural",0,10,2005,0,0,0,0,0,0,48991.95552705,47167.58480145,0,1824.3707256,0,1132022.0352348,183653.3197104,3863257.0423518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"06"
"2","1013000202",2,1.45,1,43,1,NA,0,"10130002","Central rural",0,10,2006,0,0,0,0,0,0,15963.243849,15963.243849,0,0,0,401361.559632,5777.1739644,1237227.4137444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"3","1013000204",1,1,0,31,0,"completed s.6",NA,"10130002","Central rural",0,10,2005,0,0,0,0,0,0,7023.82729356,7023.82729356,0,0,0,597481.412634,60812.35752,1023532.78941912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"4","1013000206",1,1,0,26,0,"completed p.4",1,"10130002","Central rural",0,10,2005,0,0,0,0,0,0,21284.325132,0,21284.325132,0,0,379469.1109248,45609.26814,1531863.2859288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"5","1013000209",1,1,0,46,0,"completed p.5",1,"10130002","Central rural",0,10,2005,0,0,0,0,0,0,71834.5973205,71834.5973205,0,0,0,1017086.679522,55643.3071308,4808129.0473188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"6","1013000210",4,3.14,1,34,0,"completed p.6",1,"10130002","Central rural",0,10,2005,0.3,0,0.3,0,0,0.129999995231628,48497.8551222,31318.3641228,0,3040.617876,14138.8731234,1582641.604458,159632.43849,4264162.5093024,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,"06"
"7","1013000211",2,1.37,1,24,1,"completed p.4",1,"10130002","Central rural",0,10,2006,0,0,0,0,0,0,33446.796636,30406.17876,0,0,3040.617876,1773288.3452832,165713.674242,3678235.4445972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"8","1013000212",3,2.37,0.5,45,0,"completed p.4",1,"10130002","Central rural",0,10,2006,0,0,0,0,0,0,22462.56455895,10300.09305495,0,12162.471504,0,1444901.6146752,82096.682652,2695051.6543926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"9","1013000213",3,2.37,0.5,27,0,"completed p.5",1,"10130002","Central rural",0,10,2006,0,0,0,0,0,0,0,0,0,0,0,1020735.4209732,371259.4426596,2775475.9972128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"10","1021000102",4,3.7,0.333333333333333,36,0,"completed s.6",NA,"10210001","Kampala",1,9,2006,0,0,0,0,0,0,55301.23761975,55301.23761975,0,0,0,5797850.1659568,1421488.85703,10095003.3792138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"11","1021000103",3,3,0,25,0,NA,NA,"10210001","Kampala",1,9,2005,0,0,0,0,0,0,107333.8110228,96691.6484568,10642.162566,0,0,9249559.578792,9143137.953132,23974055.7051096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"12","1021000104",1,1,0,24,1,NA,NA,"10210001","Kampala",1,9,2005,0,0,0,0,0,0,27365.560884,0,15203.08938,0,12162.471504,1222328.386152,2348877.30921,4994214.86133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"13","1021000106",1,1,0,46,1,"completed p.7",1,"10210001","Kampala",1,9,2005,0,0,0,0,0,0,16571.3674242,16571.3674242,0,0,0,903975.6945348,36487.414512,1802174.2151052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"14","1021000108",6,5.83,0.5,67,0,"completed j.3",NA,"10210001","Kampala",1,9,2005,0,0,0,0,0,0,97755.8647134,97755.8647134,0,0,0,3896855.8698816,3033776.485779,12013937.3207574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"15","1021000109",4,3.5,1,36,1,NA,0,"10210001","Kampala",1,9,2005,0,0,0,0,0,0,57011.585175,57011.585175,0,0,0,1747747.1551248,556433.071308,5268782.6555328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"16","1021000110",8,7.95,0,49,0,"completed degree and above",NA,"10210001","Kampala",1,9,2006,0,0,0,0,0,0,33503.808221175,33503.808221175,0,0,0,2103043.3539354,687179.639976,11178071.466645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
"17","1021000111",14,12.31,0.4,42,0,"completed degree and above",NA,"10210001","Kampala",1,9,2006,0,0,0,0,0,0,76395.5241345,76395.5241345,0,0,0,5042560.6855584,9923816.592795,18938944.5333474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"06"
