="",="Observations",="Mean",="Std. Deviation"
="sh_tof_w_b",="",="0.114",="0.208"
="sh_fruit_w_b",="",="0.082",="0.160"
="sh_cash",="",="0.030",="0.085"
="tot_exp",="",="64375.178",="48495.377"
="exp_food",="",="2.08e+06",="1.46e+06"
="exp_food_own",="",="17405.399",="16023.240"
="exp_durable",="",="5.17e+05",="8.58e+05"
="hhsize_ae",="",="5.033",="2.497"
="dep_ratio",="",="1.263",="1.013"
="Household Head Age (2004-05)",="",="48.057",="14.982"
="Household Head Sex (2004-05)",="",="0.302",="0.459"
="land_size",="",="3.373",="11.011"
="lvst_large",="",="1.905",="6.270"
="lvst_small",="",="2.871",="5.512"
