="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="d_tof_w_b_more",="0.509**",="",="",="-0.047",="",="",="1.291**",="",="",="0.543**",="",=""
="",="[0.145]",="",="",="[0.062]",="",="",="[0.257]",="",="",="[0.127]",="",=""
="d_tof_w_b_less",="0.231",="",="",="-0.014",="",="",="0.514*",="",="",="0.229",="",=""
="",="[0.314]",="",="",="[0.202]",="",="",="[0.210]",="",="",="[0.252]",="",=""
="d_fruit_w_b_more",="",="0.612**",="",="",="-0.033",="",="",="1.251**",="",="",="0.606***",=""
="",="",="[0.111]",="",="",="[0.067]",="",="",="[0.315]",="",="",="[0.043]",=""
="d_fruit_w_b_less",="",="0.306",="",="",="-0.012",="",="",="0.599**",="",="",="0.247",=""
="",="",="[0.289]",="",="",="[0.206]",="",="",="[0.146]",="",="",="[0.165]",=""
="d_cash_more",="",="",="0.056",="",="",="0.056",="",="",="1.244**",="",="",="0.148"
="",="",="",="[0.142]",="",="",="[0.078]",="",="",="[0.254]",="",="",="[0.110]"
="d_cash_less",="",="",="0.106",="",="",="-0.003",="",="",="0.843**",="",="",="0.018"
="",="",="",="[0.194]",="",="",="[0.110]",="",="",="[0.245]",="",="",="[0.200]"
="Moved Outside Community",="0.098",="0.082",="0.046",="-0.126",="-0.127",="-0.124",="-0.460",="-0.473",="-0.554",="0.177",="0.161",="0.135"
="",="[0.280]",="[0.296]",="[0.314]",="[0.202]",="[0.197]",="[0.194]",="[0.738]",="[0.775]",="[0.636]",="[0.266]",="[0.289]",="[0.299]"
="hh_head_age",="-0.037*",="-0.037*",="-0.038*",="0.002",="0.002",="0.002",="0.005",="0.005",="0.007",="-0.036*",="-0.036*",="-0.036*"
="",="[0.015]",="[0.014]",="[0.015]",="[0.002]",="[0.002]",="[0.002]",="[0.005]",="[0.005]",="[0.006]",="[0.013]",="[0.012]",="[0.013]"
="hh_head_sex",="0.293",="0.289",="0.304",="-0.018",="-0.019",="-0.016",="-0.302",="-0.309",="-0.312",="0.242",="0.238",="0.246"
="",="[0.247]",="[0.238]",="[0.249]",="[0.062]",="[0.066]",="[0.067]",="[0.253]",="[0.258]",="[0.263]",="[0.200]",="[0.195]",="[0.204]"
="hh_head_sch",="0.008",="0.008",="0.010",="0.012",="0.012",="0.011",="0.022",="0.020",="0.023",="0.033**",="0.032**",="0.034**"
="",="[0.010]",="[0.010]",="[0.010]",="[0.009]",="[0.009]",="[0.009]",="[0.014]",="[0.015]",="[0.013]",="[0.009]",="[0.010]",="[0.008]"
="hhsize_ae",="0.118**",="0.118**",="0.114**",="-0.023",="-0.022",="-0.024",="0.045",="0.042",="0.044",="0.137**",="0.138**",="0.135**"
="",="[0.032]",="[0.032]",="[0.029]",="[0.014]",="[0.014]",="[0.015]",="[0.029]",="[0.027]",="[0.030]",="[0.033]",="[0.033]",="[0.032]"
="dep_ratio",="0.153**",="0.152**",="0.150*",="-0.014",="-0.014",="-0.014",="0.084",="0.084",="0.091",="0.274***",="0.274***",="0.273***"
="",="[0.046]",="[0.041]",="[0.050]",="[0.032]",="[0.034]",="[0.031]",="[0.119]",="[0.117]",="[0.113]",="[0.019]",="[0.017]",="[0.027]"
="lvst_large",="-0.008",="-0.009",="-0.006",="0.002",="0.002",="0.002",="-0.001",="-0.002",="0.004",="-0.001",="-0.002",="0.001"
="",="[0.019]",="[0.018]",="[0.021]",="[0.001]",="[0.001]",="[0.001]",="[0.010]",="[0.011]",="[0.012]",="[0.021]",="[0.020]",="[0.023]"
="lvst_small",="-0.010",="-0.011",="-0.010",="-0.004",="-0.004",="-0.003",="-0.024*",="-0.025*",="-0.026",="-0.010",="-0.011",="-0.010"
="",="[0.014]",="[0.013]",="[0.014]",="[0.002]",="[0.002]",="[0.002]",="[0.010]",="[0.010]",="[0.012]",="[0.010]",="[0.010]",="[0.010]"
="w0_land_size_ln",="0.168",="0.167",="0.182",="0.024",="0.023",="0.021",="0.042",="0.053",="0.051",="0.131*",="0.132*",="0.144*"
="",="[0.091]",="[0.087]",="[0.082]",="[0.014]",="[0.013]",="[0.015]",="[0.069]",="[0.069]",="[0.068]",="[0.054]",="[0.051]",="[0.046]"
="sh_tof_w_b",="0.273",="",="",="0.050",="",="",="0.547",="",="",="0.224",="",=""
="",="[0.719]",="",="",="[0.335]",="",="",="[1.289]",="",="",="[0.574]",="",=""
="sh_fruit_w_b",="",="-0.218",="",="",="-0.105",="",="",="1.061",="",="",="-0.070",=""
="",="",="[0.629]",="",="",="[0.465]",="",="",="[1.356]",="",="",="[0.510]",=""
="sh_cash",="",="",="1.864",="",="",="0.388",="",="",="-1.997",="",="",="1.689"
="",="",="",="[1.197]",="",="",="[0.357]",="",="",="[2.064]",="",="",="[1.587]"
="part2_tot_exp",="-0.627",="-0.628",="-0.633",="",="",="",="",="",="",="",="",=""
="",="[0.270]",="[0.267]",="[0.281]",="",="",="",="",="",="",="",="",=""
="part2_exp_food",="",="",="",="-0.949***",="-0.949***",="-0.948***",="",="",="",="",="",=""
="",="",="",="",="[0.062]",="[0.061]",="[0.059]",="",="",="",="",="",=""
="part2_exp_food_own",="",="",="",="",="",="",="-0.862***",="-0.864***",="-0.857***",="",="",=""
="",="",="",="",="",="",="",="[0.031]",="[0.034]",="[0.027]",="",="",=""
="part2_exp_durable",="",="",="",="",="",="",="",="",="",="-0.660**",="-0.659**",="-0.650**"
="",="",="",="",="",="",="",="",="",="",="[0.133]",="[0.128]",="[0.137]"
="Strata FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Agroecological FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="1060",="1060",="1060",="1060",="1060",="1060",="1060",="1060",="1060",="1060",="1060",="1060"
="R-squared",="0.082",="0.083",="0.082",="0.301",="0.301",="0.302",="0.462",="0.462",="0.461",="0.135",="0.136",="0.134"
