="",="Observations",="Mean",="Std. Deviation"
="sh_tof_w_b",="",="0.155",="0.221"
="sh_fruit_w_b",="",="0.114",="0.181"
="sh_cash",="",="0.033",="0.085"
="tot_exp",="",="53220.989",="37458.274"
="w0_exp_food",="",="557.537",="360.514"
="exp_food_own",="",="264.593",="231.000"
="exp_durable",="",="6240.753",="9499.494"
="hhsize_ae",="",="4.854",="2.467"
="dep_ratio",="",="1.261",="1.005"
="hh_head_age",="",="44.827",="14.707"
="hh_head_sex",="",="0.256",="0.437"
="land_size",="",="5.848",="18.384"
="lvst_large",="",="2.250",="7.111"
="lvst_small",="",="3.335",="5.576"
